French,English
je,I
de,of
est,is
le,the
vous,you
la,the
que,that
un,a
il,he
et,and
a,has
ne,not
les,them
ce,this
en,in
on,we
une,a
ai,have
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
dans,in
elle,she
si,if
plus,more
non,Nope
mon,my
suis,am
te,you
au,to
avec,with
va,goes
toi,you
fait,do
ils,they
as,AS
faire,To do
comme,as
sur,on
ici,here
veux,want
ma,my
rien,nothing
dit,said
es,es
pourquoi,for what
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
merci,thank you
ont,have
jamais,never
aussi,Also
voir,see
chose,thing
tous,all
deux,of them
ces,these
faut,should
sa,her
ta,your
avoir,to have
peut,can
autre,other
m,M
encore,again
maintenant,now
peu,little
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
dieu,god
dois,must
homme,male
leur,their
avant,before
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
ans,year
mal,wrong
ses,his
parler,to speak
vos,your
mort,dead
eu,eu
sera,will be
bonne,good
parce,by
petit,small
tes,your
dis,say
beaucoup,many
depuis,since
doit,must
vois,see
monsieur,sir
quel,what
fille,daughter
gens,people
donc,So
jour,day
soir,evening
autres,others
ii,II
bonjour,hello
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,thought
merde,shit
nuit,night
cela,that
cet,this
maman,mom
peur,fear
arrive,arrived
seul,Alone
vite,quickly
prendre,take
